TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,LoginAttempts,AccountBalance,PreviousTransactionDate
TRANSACTIONS1000BASELINE000001,ACB00001,5.00,2024-01-16T11:00:00,Debit,Las Vegas,ATM,39,Student,1,3665.21,
TRANSACTIONS1000BASELINE000002,ACB00002,343.94,2024-01-31T16:00:00,Debit,Jacksonville,Branch,47,Retired,1,4935.98,
TRANSACTIONS1000BASELINE000003,ACB00003,287.88,2024-02-03T12:00:00,Credit,Jacksonville,ATM,47,Engineer,1,4742.30,
TRANSACTIONS1000BASELINE000004,ACB00004,5.00,2024-01-14T09:00:00,Debit,Omaha,Branch,55,Retired,1,3285.15,
TRANSACTIONS1000BASELINE000005,ACB00005,385.98,2024-01-30T13:00:00,Debit,New York,Branch,47,Doctor,1,3614.89,
TRANSACTIONS1000BASELINE000006,ACB00006,458.56,2024-01-05T17:00:00,Credit,Philadelphia,Online,60,Retired,1,4126.68,
TRANSACTIONS1000BASELINE000007,ACB00007,383.33,2024-02-13T19:00:00,Debit,Portland,ATM,43,Student,1,2510.92,
TRANSACTIONS1000BASELINE000008,ACB00008,221.63,2024-01-23T13:00:00,Credit,Sacramento,Online,56,Engineer,2,8408.46,
TRANSACTIONS1000BASELINE000009,ACB00009,522.55,2024-02-02T13:00:00,Credit,Detroit,ATM,48,Engineer,1,5700.46,
TRANSACTIONS1000BASELINE000010,ACB00010,486.24,2024-01-03T17:00:00,Debit,Fresno,ATM,52,Retired,2,5852.30,
TRANSACTIONS1000BASELINE000011,ACB00011,505.39,2024-01-10T14:00:00,Debit,San Jose,Online,43,Student,1,5404.73,
TRANSACTIONS1000BASELINE000012,ACB00012,79.32,2024-01-28T09:00:00,Debit,Charlotte,Branch,44,Student,2,2743.67,
TRANSACTIONS1000BASELINE000013,ACB00013,235.81,2024-01-31T18:00:00,Credit,Las Vegas,Branch,54,Engineer,1,3147.70,
TRANSACTIONS1000BASELINE000014,ACB00014,387.89,2024-02-02T14:00:00,Debit,Omaha,Branch,48,Engineer,2,3064.94,
TRANSACTIONS1000BASELINE000015,ACB00015,321.97,2024-02-12T08:00:00,Debit,Boston,Branch,32,Student,1,1314.77,
TRANSACTIONS1000BASELINE000016,ACB00016,5.00,2024-01-18T13:00:00,Debit,Columbus,ATM,28,Student,1,5935.81,
TRANSACTIONS1000BASELINE000017,ACB00017,399.65,2024-02-09T09:00:00,Debit,Mesa,ATM,47,Engineer,1,9803.88,
TRANSACTIONS1000BASELINE000018,ACB00018,745.21,2024-01-28T11:00:00,Credit,Boston,ATM,40,Engineer,1,5762.19,
TRANSACTIONS1000BASELINE000019,ACB00019,107.23,2024-01-25T20:00:00,Debit,Baltimore,Branch,46,Retired,2,5006.34,
TRANSACTIONS1000BASELINE000020,ACB00020,486.59,2024-02-05T18:00:00,Debit,Milwaukee,ATM,59,Engineer,1,2267.69,
TRANSACTIONS1000BASELINE000021,ACB00021,333.54,2024-02-11T20:00:00,Debit,Washington,Branch,60,Retired,1,8597.41,
TRANSACTIONS1000BASELINE000022,ACB00022,467.73,2024-02-08T08:00:00,Debit,Charlotte,Branch,52,Retired,2,3684.12,
TRANSACTIONS1000BASELINE000023,ACB00023,622.73,2024-01-14T09:00:00,Debit,Philadelphia,ATM,53,Doctor,1,8561.70,
TRANSACTIONS1000BASELINE000024,ACB00024,239.16,2024-01-14T18:00:00,Debit,Jacksonville,ATM,45,Doctor,2,9616.20,
TRANSACTIONS1000BASELINE000025,ACB00025,253.01,2024-02-13T19:00:00,Debit,Portland,ATM,44,Student,1,6741.66,
TRANSACTIONS1000BASELINE000026,ACB00026,213.43,2024-01-15T20:00:00,Debit,Raleigh,Online,41,Student,1,6320.08,
TRANSACTIONS1000BASELINE000027,ACB00027,388.54,2024-01-03T16:00:00,Credit,El Paso,Branch,39,Student,1,7355.36,
TRANSACTIONS1000BASELINE000028,ACB00028,31.26,2024-01-18T11:00:00,Debit,Colorado Springs,Online,44,Engineer,1,6992.85,
TRANSACTIONS1000BASELINE000029,ACB00029,794.36,2024-01-02T12:00:00,Debit,Colorado Springs,Branch,46,Doctor,1,4944.08,
TRANSACTIONS1000BASELINE000030,ACB00030,5.00,2024-01-26T08:00:00,Debit,San Antonio,Branch,48,Engineer,1,3580.02,
TRANSACTIONS1000BASELINE000031,ACB00031,5.00,2024-01-28T15:00:00,Debit,Colorado Springs,ATM,45,Student,1,5631.18,
TRANSACTIONS1000BASELINE000032,ACB00032,5.00,2024-02-03T13:00:00,Debit,Miami,Branch,32,Student,1,2181.08,
TRANSACTIONS1000BASELINE000033,ACB00033,109.85,2024-01-21T17:00:00,Debit,Phoenix,Online,52,Engineer,1,3075.56,
TRANSACTIONS1000BASELINE000034,ACB00034,249.37,2024-02-05T15:00:00,Debit,Las Vegas,Branch,51,Retired,1,5337.42,
TRANSACTIONS1000BASELINE000035,ACB00035,117.68,2024-01-01T15:00:00,Debit,El Paso,Branch,38,Student,1,3654.45,
TRANSACTIONS1000BASELINE000036,ACB00036,341.56,2024-01-01T12:00:00,Debit,Detroit,ATM,28,Student,1,6814.14,
TRANSACTIONS1000BASELINE000037,ACB00037,160.21,2024-02-09T12:00:00,Debit,San Antonio,ATM,43,Engineer,1,7040.00,
TRANSACTIONS1000BASELINE000038,ACB00038,5.00,2024-01-26T16:00:00,Debit,San Antonio,Branch,53,Doctor,2,4359.90,
TRANSACTIONS1000BASELINE000039,ACB00039,195.00,2024-01-12T14:00:00,Debit,Miami,ATM,44,Engineer,3,4871.48,
TRANSACTIONS1000BASELINE000040,ACB00040,399.53,2024-01-09T20:00:00,Debit,Colorado Springs,Online,45,Student,1,4949.82,
TRANSACTIONS1000BASELINE000041,ACB00041,291.49,2024-01-21T18:00:00,Debit,Los Angeles,ATM,45,Student,1,4078.27,
TRANSACTIONS1000BASELINE000042,ACB00042,180.35,2024-02-10T15:00:00,Debit,Columbus,Branch,48,Doctor,1,9612.14,
TRANSACTIONS1000BASELINE000043,ACB00043,279.12,2024-02-03T13:00:00,Debit,Mesa,Branch,53,Retired,1,4472.78,
TRANSACTIONS1000BASELINE000044,ACB00044,289.26,2024-02-06T10:00:00,Debit,San Diego,ATM,37,Student,1,3319.64,
TRANSACTIONS1000BASELINE000045,ACB00045,155.93,2024-01-17T08:00:00,Debit,Philadelphia,ATM,71,Retired,1,3222.46,
TRANSACTIONS1000BASELINE000046,ACB00046,332.71,2024-02-03T19:00:00,Debit,Omaha,ATM,43,Engineer,1,5160.61,
TRANSACTIONS1000BASELINE000047,ACB00047,278.50,2024-01-24T17:00:00,Debit,Denver,ATM,40,Student,1,5774.41,
TRANSACTIONS1000BASELINE000048,ACB00048,143.48,2024-01-04T18:00:00,Debit,Las Vegas,Online,53,Doctor,1,9239.11,
TRANSACTIONS1000BASELINE000049,ACB00049,141.91,2024-01-13T18:00:00,Credit,Kansas City,Branch,56,Retired,1,9203.42,
TRANSACTIONS1000BASELINE000050,ACB00050,431.88,2024-02-15T14:00:00,Debit,Baltimore,ATM,46,Retired,1,3900.62,
TRANSACTIONS1000BASELINE000051,ACB00051,157.52,2024-01-31T13:00:00,Debit,New York,ATM,52,Retired,1,3270.97,
TRANSACTIONS1000BASELINE000052,ACB00052,76.60,2024-01-19T11:00:00,Debit,San Antonio,ATM,46,Retired,1,3487.26,
TRANSACTIONS1000BASELINE000053,ACB00053,328.93,2024-02-15T09:00:00,Debit,Denver,Branch,47,Doctor,2,8026.28,
TRANSACTIONS1000BASELINE000054,ACB00054,191.92,2024-01-04T17:00:00,Debit,Philadelphia,Branch,35,Student,1,2508.96,
TRANSACTIONS1000BASELINE000055,ACB00055,263.51,2024-01-26T17:00:00,Debit,Memphis,Branch,54,Engineer,2,3870.60,
TRANSACTIONS1000BASELINE000056,ACB00056,192.80,2024-01-09T14:00:00,Debit,Fresno,ATM,25,Student,1,765.48,
TRANSACTIONS1000BASELINE000057,ACB00057,489.33,2024-01-22T11:00:00,Debit,Philadelphia,ATM,37,Student,1,2866.04,
TRANSACTIONS1000BASELINE000058,ACB00058,5.00,2024-01-28T19:00:00,Debit,San Antonio,Branch,48,Engineer,1,3046.21,
TRANSACTIONS1000BASELINE000059,ACB00059,240.67,2024-01-03T10:00:00,Debit,Chicago,Online,40,Doctor,1,5691.51,
TRANSACTIONS1000BASELINE000060,ACB00060,1184.97,2024-02-07T13:00:00,Credit,Dallas,Online,60,Doctor,1,7802.23,
TRANSACTIONS1000BASELINE000061,ACB00061,122.79,2024-02-01T16:00:00,Debit,Philadelphia,Online,38,Student,1,5980.19,
TRANSACTIONS1000BASELINE000062,ACB00062,41.25,2024-02-13T09:00:00,Debit,Louisville,ATM,45,Student,1,3916.37,
TRANSACTIONS1000BASELINE000063,ACB00063,267.80,2024-01-24T11:00:00,Debit,Milwaukee,Online,28,Student,1,4992.92,
TRANSACTIONS1000BASELINE000064,ACB00064,768.86,2024-01-16T08:00:00,Credit,Boston,ATM,32,Student,1,6320.38,
TRANSACTIONS1000BASELINE000065,ACB00065,415.87,2024-01-07T16:00:00,Debit,Seattle,Online,49,Engineer,2,9743.01,
TRANSACTIONS1000BASELINE000066,ACB00066,677.97,2024-01-26T20:00:00,Debit,Tucson,Online,50,Engineer,2,4483.70,
TRANSACTIONS1000BASELINE000067,ACB00067,418.04,2024-02-08T08:00:00,Credit,Jacksonville,Online,47,Doctor,1,3385.94,
TRANSACTIONS1000BASELINE000068,ACB00068,5.00,2024-01-23T19:00:00,Debit,Oklahoma City,Branch,58,Retired,2,8473.45,
TRANSACTIONS1000BASELINE000069,ACB00069,5.00,2024-01-03T15:00:00,Debit,Detroit,Online,39,Doctor,1,3224.00,
TRANSACTIONS1000BASELINE000070,ACB00070,247.07,2024-01-13T18:00:00,Credit,Fresno,ATM,48,Student,1,1826.33,
TRANSACTIONS1000BASELINE000071,ACB00071,233.47,2024-02-03T12:00:00,Debit,Dallas,ATM,39,Student,1,2637.95,
TRANSACTIONS1000BASELINE000072,ACB00072,240.59,2024-01-21T20:00:00,Debit,Philadelphia,Branch,49,Doctor,1,5907.18,
